萃湖上郡,东方北路与兴港西路交叉口,11000元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_chsjaftga
首开杭州金茂府,隐秀路433号,48443元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_skhzjmfabknr
北大资源颐和江南,杨梅山桥北大资源颐和江南,28000元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_bdzyyhjnabxgx
翡翠城,"高教路翡翠城, 闲林街道翡翠城",26135元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_fccyxaahvb
滨江新希望新城未来海岸,新湾街道建华路与闸口路交汇处,17200元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_bjxxwxcwlhabifne
雅居乐金茂中央公园,花园路雅居乐金茂中央公园,13000元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_yjljmzygybivrs
卓越珑府,长水路卓越珑府,17500元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_zylfbivtd
世茂璀璨时代,南湖新区南溪东路与亚欧路交汇处,18000元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_smccsdbivui
欣隆府,隆兴路95号,14800元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_xlfafrze
海盐阳光城翡丽湾,华丰路海盐阳光城翡丽湾,12000元/平(均价),https://hz.fang.lianjia.com/loupan/pg1/p_ygcflwafrzp
赞成星谷,丰庆路赞成星谷,23000元/平(均价),https://hz.fang.lianjia.com/loupan/pg2/p_zcxgafsaj
金辉蓝光星奕云著,杭州市余杭区临丁路与星源路交汇处,价格待定,https://hz.fang.lianjia.com/loupan/pg2/p_xyyzafsak
万科大溪谷,杭州市东西大道运溪路段，七贤郡西侧约600米,20800元/平(均价),https://hz.fang.lianjia.com/loupan/pg2/p_wkdxgafsal
中城汇MIDTOWN,杭行路中城汇MIDTOWN,价格待定,https://hz.fang.lianjia.com/loupan/pg2/p_zchmafsan
金科碧桂园博翠府,顾扬路金科碧桂园博翠府,价格待定,https://hz.fang.lianjia.com/loupan/pg2/p_jkbgybcfafsar
滨江同协金座,华丰路滨江同协金座,35000元/平(均价),https://hz.fang.lianjia.com/loupan/pg2/p_bjtxjzafsav
蓝城澜宸,钱江路蓝城澜宸,56500元/平(均价),https://hz.fang.lianjia.com/loupan/pg2/p_lclcafsax
和家园雍园,杨梅山路和家园雍园,50579元/平(均价),https://hz.fang.lianjia.com/loupan/pg2/p_hjyyyafscz
融创东麟府,政通路融创东麟府,20500元/平(均价),https://hz.fang.lianjia.com/loupan/pg2/p_rcdlfafsfz
越秀招商天悦江湾,三官塘路与建华路交叉口,40200元/平(均价),https://hz.fang.lianjia.com/loupan/pg2/p_yxzstyjwafsgs
金隅中铁诺德都会森林,江干区艮山西路与钱潮路交汇处,58865元/平(均价),https://hz.fang.lianjia.com/loupan/pg3/p_jyztnddhslafsgu
东城金茂府,城东新城源聚路与明石路交汇处,价格待定,https://hz.fang.lianjia.com/loupan/pg3/p_dcjmfafsgw
金地宋都都会钱塘,水云街与文淙北路交叉口,27063元/平(均价),https://hz.fang.lianjia.com/loupan/pg3/p_jdsddhqtafsgz
越秀招商天悦江湾,三官塘路与建华路交叉口,价格待定,https://hz.fang.lianjia.com/loupan/pg3/p_yxzstyjwafsha
越秀招商天悦江湾,三官塘路与建华路交叉口,130万/套(均价),https://hz.fang.lianjia.com/loupan/pg3/p_yxzstyjwafshb
碧桂园良樾,精工西路碧桂园良樾,价格待定,https://hz.fang.lianjia.com/loupan/pg3/p_bgylyafshc
滨江碧桂园翡翠江南,利华路滨江碧桂园翡翠江南,34284元/平(均价),https://hz.fang.lianjia.com/loupan/pg3/p_bjbgyfcjnafshg
滨江碧桂园卧城印象,向旭路滨江碧桂园卧城印象,价格待定,https://hz.fang.lianjia.com/loupan/pg3/p_bjbgywcyxafshi
中粮梦栖祥云,杜文路中粮梦栖祥云,价格待定,https://hz.fang.lianjia.com/loupan/pg3/p_zlmqxyafshl
滨江碧桂园卧城印象,向旭路滨江碧桂园卧城印象,价格待定,https://hz.fang.lianjia.com/loupan/pg3/p_bjbgywcyxafsij
碧桂园越溪府,东藩路碧桂园越溪府,价格待定,https://hz.fang.lianjia.com/loupan/pg4/p_bgyyxfafsim
香港兴业耦园,五常街道耦园,价格待定,https://hz.fang.lianjia.com/loupan/pg4/p_xgxyoyafsio
合景天銮,莫干山路989号,82000元/平(均价),https://hz.fang.lianjia.com/loupan/pg4/p_hjtlafsiw
